物品コード,物品名,カテゴリ,提供価格,,
,,,生徒販売価格,,
111-108058-11,現役合格システム　英文法・語法演習（part1）,教材,"¥1,753",,
,改訂:2009/01,,"¥2,104",,
111-108059-11,現役合格システム　英文法・語法演習（part2）,教材,"¥1,753",,
,改訂:2012/11,,"¥2,104",,
231-108060-11,現役合格システム英文法・語法演習part1・2解,教材,"¥1,024",,
,改訂:2013/02,,"¥1,572",,
111-111635-11,現役合格システム　英語総合演習　　　,教材,"¥1,899",,
,改訂:2015/01,,"¥2,305",,
231-111636-11,現役合格システム　英語総合演習　解答解説編,教材,¥896,,
,改訂:2013/01,,"¥1,254",,
111-111637-11,現役合格システム　入試長文読解演習　　　,教材,"¥1,781",,
,改訂:2012/12,,"¥2,095",,
231-111638-11,現役合格システム　入試長文読解演習　解答解説編,教材,¥767,,
,改訂:2013/01,,"¥1,074",,
111-108063-11,実戦英語演習A　高2・3　基礎～標準,教材,"¥1,371",,
,改訂:2015/01,,"¥1,645",,
111-108064-11,実戦英語演習B　高2・3　標準～応用,教材,"¥1,371",,
,改訂:2013/01,,"¥1,645",,
111-108065-11,実戦英語演習C　高3　応用～発展,教材,"¥1,371",,
,改訂:2012/12,,"¥1,645",,
111-108139-11,現役合格システム　高１現代文　　　,教材,"¥1,278",,
,改訂:2013/01,,"¥1,572",,
231-108140-11,現役合格システム　高１現代文　解答解説編,教材,¥686,,
,改訂:2012/12,,"¥1,048",,
111-108141-11,現役合格システム　高１古文　　　,教材,"¥1,973",,
,改訂:2013/01,,"¥2,367",,
231-108142-11,現役合格システム　高１古文　解答解説編,教材,¥686,,
,改訂:2013/02,,"¥1,048",,
111-108143-11,現役合格システム　高2現代文演習　　　,教材,"¥1,781",,
,改訂:2013/01,,"¥2,095",,
231-108144-11,現役合格システム　高2現代文演習　解答解説編,教材,¥686,,
,改訂:2013/02,,"¥1,048",,
111-108145-11,現役合格システム　高2古文演習　　　,教材,"¥1,662",,
,改訂:2012/09,,"¥2,095",,
231-108146-11,現役合格システム　高2古文演習　解答解説編,教材,¥686,,
,改訂:2012/11,,"¥1,048",,
111-108147-11,現役合格システム　高3入試現代文演習　　　,教材,"¥1,781",,
,改訂:2012/12,,"¥2,095",,
231-108148-11,現役合格システム　高3入試現代文演習　解答解説編,教材,¥686,,
,改訂:2012/12,,"¥1,048",,
111-108149-11,現役合格システム　高3入試古文演習　　　,教材,"¥1,663",,
,改訂:2012/12,,"¥2,095",,
231-108150-11,現役合格システム　高3入試古文演習　解答解説編,教材,¥767,,
,改訂:2013/01,,"¥1,074",,
111-108151-11,現役合格システム　高3入試漢文演習　　　,教材,"¥1,663",,
,改訂:2013/02,,"¥2,095",,
231-108152-11,現役合格システム　高3入試漢文演習　解答解説編,教材,¥686,,
,改訂:2013/02,,"¥1,048",,
111-115919-11,現役合格システム　高１漢文,教材,"¥1,663",,
,改訂:2013/11,,"¥2,095",,
231-115920-11,現役合格システム　高１漢文　解答解説編,教材,¥686,,
,改訂:2013/11,,"¥1,048",,
111-115921-11,現役合格システム　高2漢文演習,教材,"¥1,663",,
,改訂:2013/11,,"¥2,095",,
231-115922-11,現役合格システム　高2漢文演習　解答解説編,教材,¥686,,
,改訂:2013/12,,"¥1,048",,
111-116098-11,漢字ガイダンス　中学校編,教材,¥924,,
,説明文を開く,,"¥1,294",,
,改訂:2013/12,,,,
111-116099-11,高校受験　漢字ガイダンス,教材,¥880,,
,説明文を開く,,"¥1,232",,
,改訂:2013/12,,,,
111-117703-11,即効！記述ワーク　作文,教材,¥776,,
,改訂:2016/11,,"¥1,086",,
231-117706-11,即効！記述ワーク　作文　指導書,教材,¥974,,
,改訂:2016/11,,,,
111-118590-11,LectureReady1 Second Edit.,教材,"¥3,815",,
,説明文を開く,,"¥4,578",,
,改訂:2016/11,,,,
111-118591-11,LectureReady2 Second Edit,教材,"¥3,815",,
,説明文を開く,,"¥4,578",,
,改訂:2017/01,,,,
111-118743-11,高校入試対策　自由英作文,教材,¥990,,
,説明文を開く,,"¥1,386",,
,改訂:2016/10,,,,
111-118736-11,文章検　公式テキスト　４級,教材,¥495,,
,改訂:2014/05,,¥495,,
111-118737-11,文章検　公式テキスト　３級,教材,¥495,,
,改訂:2015/10,,¥495,,
111-118771-11,漢検　漢字学習ステップ　１０級　ワイド版,教材,"¥1,100",,
,改訂:2016/03,,"¥1,100",,
